route,locale,slug_reco,status,title_actuel,title_reco,meta_description_reco,h1_reco,canonical,breadcrumbs,links_out_reco,schema_types,notes
/,fr,/,✅ DONE,"Elynor Tours : Location Voiture & Hotels Israel au Meilleur Prix","Elynor Tours : Location Voiture & Hotels Israel au Meilleur Prix (69c)","Elynor Tours, specialiste location de voiture et reservation d'hotels en Israel depuis 2015. Tel Aviv, Jerusalem, Eilat. Meilleurs tarifs garantis, service premium 24/7. (170c)","Voyagez au meilleur prix avec Elynor Tours",https://elynortours.com/,Home,/location-voiture|Reserver une voiture;/hotels|Trouver un hotel;/plages/mediterranee|Plages Mediterranee;/plages/mer-morte|Plages Mer Morte;/contact|Nous contacter,"Organization, WebSite, BreadcrumbList","✅ DONE - Page optimisee avec schemas Organization + WebSite, maillage interne complet"
/location-voiture,fr,/location-voiture,✅ DONE,"Location Voiture Israel : Tel Aviv Jerusalem Eilat Prix 2025","Location Voiture Israel : Tel Aviv Jerusalem Eilat Prix 2025 (63c)","Location voiture Israel aux meilleurs prix : aeroport Ben Gourion, Tel Aviv, Jerusalem, Eilat. Tous loueurs (Hertz, Avis, Sixt), assurance incluse, service 24/7, vehicules neufs. (178c)","Location de Voiture en Israel",https://elynortours.com/location-voiture,Home > Location Voiture,/location-voiture/aeroport-ben-gourion|Location Aeroport Ben Gourion;/location-voiture/tel-aviv|Location Tel Aviv;/location-voiture/jerusalem|Location Jerusalem;/contact|Obtenir un devis,"BreadcrumbList, ItemList","✅ DONE - Page index complete avec 3 destinations principales, maillage vers sous-pages"
/location-voiture/tel-aviv,fr,/location-voiture/tel-aviv,✅ DONE,"Location Voiture Tel Aviv Centre-Ville Livraison Hotel 2025","Location Voiture Tel Aviv Centre-Ville Livraison Hotel 2025 (67c)","Louez voiture Tel Aviv avec livraison gratuite hotel, centre-ville, aeroport. Vehicules neufs economiques, SUV, luxe. Assurance incluse, GPS, assistance 24/7. Prix imbattables. (179c)",Location de Voiture a Tel Aviv,https://elynortours.com/location-voiture/tel-aviv,"Home > Location Voiture > Tel Aviv",/hotels/tel-aviv|Hotels Tel Aviv;/plages/mediterranee|Plages Tel Aviv;/location-voiture/aeroport-ben-gourion|Location Aeroport,"BreadcrumbList, CarRental","✅ DONE - Page complete avec contenu 240+ lignes, schema CarRental, maillage interne"
/location-voiture/jerusalem,fr,/location-voiture/jerusalem,✅ DONE,"Location Voiture Jerusalem Vieille Ville Livraison Gratuite 2025","Location Voiture Jerusalem Vieille Ville Livraison Gratuite 2025 (70c)","Louez voiture Jerusalem avec livraison gratuite hotel, Vieille Ville, quartiers modernes. Vehicules neufs tous modeles. Assurance complete, GPS, assistance francophone 24/7. (170c)",Location de Voiture a Jerusalem,https://elynortours.com/location-voiture/jerusalem,"Home > Location Voiture > Jerusalem",/hotels/jerusalem|Hotels Jerusalem;/plages/mer-morte|Mer Morte 45min;/location-voiture/aeroport-ben-gourion|Location Aeroport,"BreadcrumbList, CarRental","✅ DONE - Page complete avec contenu complet sites sacres, schema CarRental, maillage interne"
/location-voiture/aeroport-ben-gourion,fr,/location-voiture/aeroport-ben-gourion,✅ DONE,"Location Voiture Aeroport Ben Gourion Tel Aviv | Guide 2025","Location Voiture Aeroport Ben Gourion Tel Aviv | Guide 2025 (65c)","Louez votre voiture a l'arrivee a l'aeroport Ben Gourion. Tous les loueurs (Hertz, Avis, Sixt), emplacements terminaux, tarifs. Reservation rapide, vehicules neufs. (170c)","Location Voiture Aeroport Ben Gourion",https://elynortours.com/location-voiture/aeroport-ben-gourion,"Home > Location Voiture > Aeroport Ben Gourion",/location-voiture|Location voiture;/hotels|Hotels;/contact|Contact,"BreadcrumbList, CarRental","✅ DONE - Page prioritaire complete avec schema CarRental, alternates i18n"
/hotels,fr,/hotels,✅ DONE,"Hotels Israel : Reservation Tel Aviv Jerusalem Eilat 2025","Hotels Israel : Reservation Tel Aviv Jerusalem Eilat 2025 (62c)","Reservez votre hotel en Israel au meilleur prix : Tel Aviv bord de mer, Jerusalem vieille ville, Mer Morte spa, Eilat Mer Rouge. 3-5*, promos, annulation flexible. (165c)","Reservation Hotels en Israel",https://elynortours.com/hotels,Home > Hotels,/hotels/tel-aviv|Hotels Tel Aviv;/hotels/jerusalem|Hotels Jerusalem;/hotels/mer-morte|Hotels Mer Morte;/hotels/eilat|Hotels Eilat;/contact|Contact,"BreadcrumbList, ItemList","✅ DONE - Page index complete avec 4 destinations, alternates i18n"
/hotels/tel-aviv,fr,/hotels/tel-aviv,✅ DONE,"Hotels Tel Aviv Front de Mer Rothschild : Reservation 2025","Hotels Tel Aviv Front de Mer Rothschild : Reservation 2025 (64c)","Reservez hotel Tel Aviv au meilleur prix : front de mer Gordon Beach, quartier Rothschild, centre-ville. Hotels 3-5*, piscine rooftop, petit-dejeuner inclus. Prix negocies exclusifs. (177c)",Hotels a Tel Aviv,https://elynortours.com/hotels/tel-aviv,"Home > Hotels > Tel Aviv",/location-voiture/tel-aviv|Location voiture;/plages/mediterranee|Plages Tel Aviv;/hotels/jerusalem|Hotels Jerusalem,"BreadcrumbList, Hotel","✅ DONE - Page complete avec 3 quartiers detailles, schema Hotel, maillage interne"
/hotels/jerusalem,fr,/hotels/jerusalem,✅ DONE,"Hotels Jerusalem Vieille Ville Mamilla : Reservation 2025","Hotels Jerusalem Vieille Ville Mamilla : Reservation 2025 (62c)","Reservez hotel Jerusalem au meilleur prix : Vieille Ville, quartier juif, Mamilla, Jerusalem Est. Hotels 3-5* pres sites sacres. Parking, petit-dejeuner kasher. Prix negocies exclusifs. (179c)",Hotels a Jerusalem,https://elynortours.com/hotels/jerusalem,"Home > Hotels > Jerusalem",/location-voiture/jerusalem|Location voiture;/plages/mer-morte|Mer Morte 45min;/hotels/tel-aviv|Hotels Tel Aviv,"BreadcrumbList, Hotel","✅ DONE - Page complete avec 3 quartiers + sites religieux/culturels, schema Hotel, maillage interne"
/hotels/mer-morte,fr,/hotels/mer-morte,✅ DONE,"Hotels Spa Mer Morte Ein Bokek : Wellness & Detente 2025","Hotels Spa Mer Morte Ein Bokek : Wellness & Detente 2025 (66c)","Reservez hotel spa Mer Morte au meilleur prix : Ein Bokek, Neve Zohar. Hotels 4-5* piscines minerales, soins therapeutiques, boue naturelle. Vue mer exceptionnelle, tout compris disponible. (186c)",Hotels & Spa a la Mer Morte,https://elynortours.com/hotels/mer-morte,"Home > Hotels > Mer Morte",/plages/mer-morte|Plages Mer Morte;/hotels/jerusalem|Hotels Jerusalem 45min;/location-voiture|Location voiture,"BreadcrumbList, Hotel, HealthAndBeautyBusiness","✅ DONE - Page complete avec 2 zones + soins spa, schemas Hotel + SpaOrHealthClub, bienfaits therapeutiques"
/hotels/eilat,fr,/hotels/eilat,✅ DONE,"Hotels Eilat Mer Rouge All Inclusive : Reservation 2025","Hotels Eilat Mer Rouge All Inclusive : Reservation 2025 (63c)","Reservez hotel Eilat Mer Rouge au meilleur prix : front de mer, tout compris, hotels familiaux. Plongee snorkeling, plages paradisiaques, vie nocturne. Hotels 3-5*, animation, kids club. (178c)",Hotels a Eilat - Mer Rouge,https://elynortours.com/hotels/eilat,"Home > Hotels > Eilat",/location-voiture|Location voiture;/hotels/mer-morte|Hotels Mer Morte;/plages|Guide plages,"BreadcrumbList, Hotel","✅ DONE - Page complete avec 3 categories hotels (luxe/all-inclusive/famille), schema Hotel, sports nautiques"
/plages,fr,/plages,✅ DONE,"Guide Plages Israel : Mediterranee Mer Morte | Elynor Tours","Guide Plages Israel : Mediterranee Mer Morte | Elynor Tours (61c)","Decouvrez les 30+ plus belles plages d'Israel : Mediterranee (Tel Aviv, Haifa), Mer Morte (Ein Bokek). Guide complet acces, conseils, hebergement, location voiture. (171c)","Les Plus Belles Plages d'Israel",https://elynortours.com/plages,Home > Plages,/plages/mediterranee|Plages Mediterranee;/plages/mer-morte|Plages Mer Morte;/location-voiture|Louer une voiture;/hotels|Hotels bord de mer,"BreadcrumbList, ItemList","✅ DONE - Page index complete avec 2 destinations, alternates i18n"
